Off,000000000000000000000000000000
AAT,110000010101010011000000000000
VVT,110000001010101100000000000000
AOO,110000010101000000000000000000
AAI,110000010101010011011000000000
VOO,110000001010100000000000000000
VVI,110000001010101100011000000000
VDD,110111001010101100101111110000
DOO,110100011111100000000000000000
DDI,110100011111111111000000000000
DDD,110111111111111111111111110000
AOOR,111000010101000000000000001111
AAIR,111000010101010011011000001111
VOOR,111000001010100000000000001111
VVIR,111000001010101100011000001111
VDDR,111111001010101100101111111111
DOOR,111100011111100000000000001111
DDIR,111100011111111111000000001111
DDDR,111111111111111111111111111111
